PP
Model Dimension,DGL,P3,HADES
16,82.3911,24.18,32.411
32,82.4822,28.672,32.0761
64,81.5165,37.906,33.0001
96,81.1554,47.307,32.9237
128,80.6036,76.464,32.3857
192,81.4283,95.152,32.1369
256,80.389,112.173,32.7523
